name,stage,calls,cpu_time_total_us,cuda_time_total_us,self_cpu_time_total_us,self_cuda_time_total_us,run_name
aten::_unsafe_view,,192,206.8510000000624,0,206.8510000000624,0,small_ctx256_train_step_fp32
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4::Params),,48,0,382.2050000000272,0,382.2050000000272,small_ctx256_train_step_fp32
sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas,,50,0,1140.6699999999691,0,1140.6699999999691,small_ctx256_train_step_fp32
aten::sigmoid,,24,279.6529999999775,143.90500000001066,182.52699999996003,143.90500000001066,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",,24,0,143.90500000001066,0,143.90500000001066,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",,392,0,2215.163999999989,0,2215.163999999989,small_ctx256_train_step_fp32
cudaMemsetAsync,,248,678.8000000000648,0,678.8000000000648,0,small_ctx256_train_step_fp32
Memset (Device),,248,0,197.791000000052,0,197.791000000052,small_ctx256_train_step_fp32
aten::log,,2,21.155000000013388,3.4879999999902793,13.396000000007916,3.4879999999902793,small_ctx256_train_step_fp32
aten::neg,,104,730.8909999999705,621.5729999999712,422.4839999999567,621.5729999999712,small_ctx256_train_step_fp32
aten::gather,,2,32.020000000004075,17.920000000009168,22.038999999989755,17.920000000009168,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::log_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::log_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",,2,0,3.4879999999902793,0,3.4879999999902793,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::neg_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",,56,0,480.2569999999905,0,480.2569999999905,small_ctx256_train_step_fp32
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<false, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<false, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1})",,2,0,17.920000000009168,0,17.920000000009168,small_ctx256_train_step_fp32
backward,backward,2,64298.21700000001,2.3669999999910942,64234.88700000001,0.0,small_ctx256_train_step_fp32
aten::ones_like,,2,63.330000000001746,2.3669999999910942,4.961999999999534,0.0,small_ctx256_train_step_fp32
aten::empty_strided,,618,1327.0030000001207,0,1327.0030000001207,0,small_ctx256_train_step_fp32
backward,backward,2,0,2.3669999999910942,0,2.3669999999910942,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: MeanBackward0,,2,207.84100000000035,3.455999999987398,38.507000000001426,0.0,small_ctx256_train_step_fp32
MeanBackward0,,2,169.33399999999892,3.455999999987398,55.76899999998932,0.0,small_ctx256_train_step_fp32
aten::expand,,80,213.37299999999232,0,175.79699999999139,0,small_ctx256_train_step_fp32
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",,52,0,192.60600000001796,0,192.60600000001796,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: GatherBackward0,,2,140.67200000000594,36.47900000001391,19.927000000010594,0.0,small_ctx256_train_step_fp32
GatherBackward0,,2,120.74499999999534,36.47900000001391,16.432999999997264,0.0,small_ctx256_train_step_fp32
aten::gather_backward,,2,104.31199999999808,36.47900000001391,18.27500000000873,0.0,small_ctx256_train_step_fp32
aten::new_zeros,,4,77.75099999999293,36.895000000022264,16.803000000014435,0.0,small_ctx256_train_step_fp32
aten::new_empty,,4,21.286999999989348,0,6.25800000000163,0,small_ctx256_train_step_fp32
aten::zero_,,474,2697.853999999792,1135.074999999877,662.4729999997653,0.0,small_ctx256_train_step_fp32
aten::scatter_add_,,2,38.81200000000172,15.391000000006898,27.611000000022614,15.391000000006898,small_ctx256_train_step_fp32
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, float, long>::operator()<at::native::ReduceAdd>(at::TensorIterator&, long, long, long, at::native::ReduceAdd const&)::{lambda(int)#1})",,2,0,15.391000000006898,0,15.391000000006898,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: NegBackward0,,2,27.284999999999854,38.52800000000934,5.364000000001397,0.0,small_ctx256_train_step_fp32
NegBackward0,,2,21.920999999998457,38.52800000000934,2.6859999999978754,0.0,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: SubBackward0,,76,1018.9409999999443,564.643999999993,226.64299999989817,0.0,small_ctx256_train_step_fp32
SubBackward0,,76,570.1270000000186,360.6439999999784,69.9870000000592,0.0,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: LogBackward0,,2,37.38499999999112,3.680000000000291,7.212999999981548,0.0,small_ctx256_train_step_fp32
LogBackward0,,2,30.172000000009575,3.680000000000291,3.2590000000054715,0.0,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: SumBackward1,,26,364.0080000000089,235.29599999999846,106.75199999999677,0.0,small_ctx256_train_step_fp32
SumBackward1,,26,94.71099999999569,0,29.776999999994587,0,small_ctx256_train_step_fp32
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float> >, std::array<char*, 3ul>)",,224,0,858.109000000084,0,858.109000000084,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: ExpBackward0,,26,318.15000000000873,327.0399999999354,85.4939999999915,0.0,small_ctx256_train_step_fp32
ExpBackward0,,26,215.23600000001898,269.4399999999332,51.57100000002538,0.0,small_ctx256_train_step_fp32
aten::add_,,516,2591.7270000000353,1546.679000000142,1204.0820000001222,1546.679000000142,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: MaxBackward0,,26,1162.1890000000094,531.5520000000142,146.91200000002573,0.0,small_ctx256_train_step_fp32
MaxBackward0,,26,878.4249999999629,317.2799999999952,63.756999999950494,0.0,small_ctx256_train_step_fp32
aten::value_selecting_reduction_backward,,26,814.6680000000124,317.2799999999952,72.7119999999777,0.0,small_ctx256_train_step_fp32
aten::zeros,,26,356.4970000000794,119.26299999997718,59.45900000007532,0.0,small_ctx256_train_step_fp32
aten::scatter_,,26,385.45899999995527,198.01700000001802,265.212999999967,198.01700000001802,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: ViewBackward0,,726,4452.054000000069,420.50900000003094,1593.674999999941,0.0,small_ctx256_train_step_fp32
ViewBackward0,,726,2858.379000000128,420.50900000003094,611.9870000000301,0.0,small_ctx256_train_step_fp32
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1})",,26,0,198.01700000001802,0,198.01700000001802,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: PermuteBackward0,,1234,5949.350999999962,0,2726.356000000167,0,small_ctx256_train_step_fp32
PermuteBackward0,,1234,3222.9949999997953,0,967.1359999998058,0,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: BmmBackward0,,218,9809.803000000116,9141.915999999866,841.2430000000386,0.0,small_ctx256_train_step_fp32
BmmBackward0,,218,8968.560000000078,9141.915999999866,702.1410000000142,0.0,small_ctx256_train_step_fp32
aten::transpose,,436,878.0890000000727,0,729.4870000002993,0,small_ctx256_train_step_fp32
sm90_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x256x32_warpgroupsize2x1x1_execute_segment_k_off_kernel__5x_cublas,,2,0,162.62400000000343,0,162.62400000000343,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: ReshapeAliasBackward0,,242,1886.5429999998887,189.70100000005186,669.9780000001083,0.0,small_ctx256_train_step_fp32
ReshapeAliasBackward0,,242,1216.5649999997804,189.70100000005186,184.578999999776,0.0,small_ctx256_train_step_fp32
sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize64x128x32_warpgroupsize1x1x1_execute_segment_k_off_kernel__5x_cublas,,146,0,2589.602999999948,0,2589.602999999948,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: UnsqueezeBackward0,,606,3565.1829999999136,234.2449999999444,1645.9589999997916,0.0,small_ctx256_train_step_fp32
UnsqueezeBackward0,,606,1438.085000000112,0,350.8250000000553,0,small_ctx256_train_step_fp32
